id,slug,name,brand,model,trim
186eef8f-5004-474c-b667-ff3bda5869cc,jaguar-f-type-r,"F-Type R","Jaguar","F-Type","R"
e67b76b6-1830-4da4-b094-8cbce5c5c428,jaguar-f-type-v6-s,"F-Type V6 S","Jaguar","F-Type","V6 S"
511ffa3c-88ca-40b2-85a8-4b604ac0f66d,jaguar-xe-s-x760,"XE S","Jaguar","XE","S"
8fdadb52-1ea9-485b-b743-f7be4789fdf9,jeep-gladiator-jt,"Gladiator","Jeep","Gladiator","Standard"
276e196d-d1da-4621-ac71-5f8fed7cecc7,jeep-gladiator-mojave-jt,"Gladiator Mojave","Jeep","Gladiator","Mojave"
7bdc1165-9012-491a-ac26-3cc14cc2264b,jeep-gladiator-rubicon-jt,"Gladiator Rubicon","Jeep","Gladiator","Rubicon"
696cc8a4-9cc3-4f73-b55f-e6444f90c6a5,jeep-grand-cherokee-wk2,"Grand Cherokee","Jeep","Grand Cherokee","Standard"
fb8f75da-2f69-4b6c-a275-daba446a888a,jeep-grand-cherokee-trackhawk-wk2,"Grand Cherokee Trackhawk","Jeep","Grand Cherokee","Trackhawk"
4573c1a5-41c2-4d73-9418-3798c56be9b7,jeep-wrangler-jk,"Wrangler JK","Jeep","JK Wrangler","Standard"
01fc4ce3-d137-48ab-8d89-038ea5ffaae7,jeep-wrangler-jl,"Wrangler JL","Jeep","JL Wrangler","Standard"
6abc851d-6697-4ca7-9476-8c1837979799,jeep-wrangler-rubicon-392-jl,"Wrangler Rubicon 392","Jeep","JL Wrangler","Rubicon 392"
10c2e700-4c99-40fc-86af-16cdc50821f9,kia-k5-gt-2021,"K5 GT","Kia","K5","GT"
87655401-0c15-4fa0-9cf4-d35bce8e7638,kia-stinger-gt-ck,"Stinger GT","Kia","Stinger","GT"
edd4868f-d52e-45b3-8f6e-51c72d12fb83,lamborghini-aventador-lp700-4,"Aventador LP 700-4","Lamborghini","Aventador","LP 700-4"
3198bdf9-fbf7-4a9f-9b9e-116d3f5ade36,lamborghini-aventador-svj,"Aventador SVJ","Lamborghini","Aventador","SVJ"
3c93ecf6-66c5-4b7f-9259-261700222c67,lamborghini-gallardo,"Gallardo","Lamborghini","Gallardo","Standard"
f6778011-8f4c-4948-a393-8c0d0261c480,lamborghini-huracan-lp610-4,"Huracán LP 610-4","Lamborghini","Huracán","LP 610-4"
fd336f0c-a6a6-4bf2-a252-f714abe3e6c9,lamborghini-huracan-performante,"Huracán Performante","Lamborghini","Huracán","Performante"
7171bb61-17ca-4a55-8d3d-8567f4102e22,lamborghini-huracan-sto,"Huracán STO","Lamborghini","Huracán","STO"
164830d8-1788-4db1-895f-3efdd7a5025e,lamborghini-huracan-tecnica,"Huracán Tecnica","Lamborghini","Huracán","Tecnica"
1d336150-1b38-4cf1-9267-4c3a00fed2ca,lamborghini-revuelto-lp780-4,"Revuelto LP 780-4","Lamborghini","Revuelto","LP 780-4"
9d043e35-2d9e-4a08-b44f-a980155801d7,lexus-gs350-l10,"GS 350","Lexus","GS","350"
9f4c9490-eda1-47bf-a94d-85f8fa5d6a81,lexus-gs-f-url2,"GS F","Lexus","GS F","Standard"
c7e36276-ca78-4a1e-88f9-4e34a7ef53f8,lexus-gx-550-j460,"GX 550","Lexus","GX","550"
88e99ddc-12ea-42cd-baac-cc2ffb1e8aaf,lexus-is-f-use20,"IS-F","Lexus","IS-F","Standard"
32b12b99-7761-4acc-9306-00272cc6e8c0,lexus-is300-xe10,"IS300","Lexus","XE10 IS","300"
a61356f4-846a-4880-8145-34100655e8fb,lexus-is350-xe20,"IS350","Lexus","XE20 IS","350"
